Players,常用位置,比赛场次,KDA,参团率,场均击杀,单场最高击杀,场均助攻,所属战队id
南京Hero.久凡,辅助,34,5.66,68.43%,0.56,,8.5,6
南京Hero.清融,中路,34,7.16,70.64%,3,,6.94,6
南京Hero.尘夏,打野,34,5.36,61.10%,1.82,,6.26,6
南京Hero.无畏,打野,34,5.04,64.95%,3.76,,5.06,6
TES.湘军,打野,33,3.84,64.02%,2.45,,4.33,12
TES.小鹏,打野,33,4.9,64.44%,3.24,,3.55,12
RNGM.Zero,辅助,33,4.38,75.05%,0.67,,7,10
TES.花卷,中路,33,4.01,63.95%,2.24,,4.91,12
DYG.小义,打野,33,5.8,59.40%,3.97,,3.76,2
DYG.清清,对抗路,33,4.45,60.02%,2.42,,5.03,2
DYG.星宇,辅助,33,5.82,71.84%,0.39,,8.3,2
RNGM.暴风锐,中路,33,4.01,71.86%,2.24,,5.21,10
DYG.易峥,发育路,33,7.39,72.27%,3,,5.91,2
RNGM.虔诚,打野,33,4.39,75.25%,3.64,,3.79,10
佛山GK.青枫,中路,31,4.8,65.22%,1.97,,5,5
佛山GK.百兽,上路,31,4.19,58.71%,2.06,,4.13,5
佛山GK.梦岚,发育路,31,3.84,64.53%,2.94,,3.94,5
杭州LGD大鹅.晨阳,打野,31,3.77,60.96%,3,,3.84,8
杭州LGD大鹅.君诏,对抗路,31,2.84,56.74%,1.26,,5.29,8
佛山GK.鹏鹏,打野,31,3.26,57.20%,2.42,,3.74,5
VG.Qy,发育路,31,5.42,72.71%,3.55,,5.81,14
Pl,对抗路,31,5.53,68.19%,2.1,,6.81,
VG.十三,发育路,31,5.33,66.72%,4,,4.45,14
TES.迷神,上路,29,2.84,49.60%,2.07,,3.38,12
RNGM.晚秋,下路,29,2.56,58.11%,2.66,,3.28,10
杭州LGD大鹅.剑心,中路,28,6.09,70.86%,2.71,,5.43,8
TES.KoKo,辅助,28,2.96,60.65%,0.36,,5.68,12
广州TTG.易瞳,对抗路,27,3.71,58.41%,2.19,,3.81,13
南京Hero.久酷,发育路,27,6.44,70.07%,3.89,,5.63,6
Wb.Ts.神人,上路,27,5.06,59.89%,1.52,,6.67,15
广州TTG.XQ.绑兔,打野,27,2.62,51.82%,2.37,,3.52,13
广州TTG.XQ.九尾,中路,27,4.47,65.32%,2.22,,4.59,13
Wb.TS.诗酒,中路,27,5.8,73.09%,4.59,,5.74,15
上海EDGM.初晨,打野,27,5.15,76.64%,3.19,,3.93,3
Wb.Ts.阿豆,辅助,27,5.58,67.83%,0.59,,9.19,15
上海EDGM.柠栀,对抗路,27,4.04,67.48%,1.96,,4.41,3
广州TTG.XQ.冰尘,辅助,27,4.91,72.39%,0.26,,7,13
Wb.Ts.暖阳,打野,27,5.28,66.80%,4.07,,4.89,15
广州TTG.XQ.钎城,发育路,27,4.3,67.12%,3.19,,3.85,13
Wb.Ts.千世,上路,27,6.28,69.21%,2.7,,6.85,15
杭州LGD大鹅.无羡,辅助,26,6.45,77.22%,0.77,,8.42,8
杭州LGD大鹅.江城,发育路,26,5.7,70.67%,3.54,,4.5,8
成都AG超玩会.笑影,中路,26,6.36,69.61%,2.23,,7,1
RW侠.Djie,上路,26,2.85,64.95%,2.04,,3.15,11
成都AG超玩会.一诺,发育路,26,5.44,70.07%,4.27,,4.73,1
RW侠.Huayun,打野,26,3.73,72.06%,2.58,,3.27,11
RW侠.Yguo,中路,26,4.37,67.94%,1.54,,3.85,11
RW侠.Dnan,上路,24,2.29,55.38%,1.67,,3.12,11
西安WE.556,打野,24,5.5,73.29%,0.67,,8.75,16
重庆QGhappy.末将,中路,24,5.25,64.70%,3.04,,4.79,9
西安WE.依恋,发育路,24,6.81,67.92%,3.67,,4.88,16
重庆QGhappy.许诺,辅助,24,4.2,64.40%,0.54,,6.5,9
西安WE.小新,打野,24,6.25,72.44%,4.17,,4.83,16
重庆QGhappy.Hurt,发育路,24,5.15,66.53%,3.21,,4.62,9
重庆QGhappy.妖刀,发育路,24,5.93,66.73%,2.79,,5,9
西安WE.初心,对抗路,24,4.34,59.97%,1.54,,6.08,16
西安WE.小A,中路,24,5.66,68.58%,2.25,,6.38,16
DYG.萧?,中路,23,6.78,68.36%,2,,6.61,2
上海EDGM.然然,辅助,23,3.44,74.08%,0.39,,6.83,3
重庆QGhappy.Fly,对抗路,23,4.35,60.62%,1.87,,5.52,9
RNGM.雨雨,上路,22,2.48,57.98%,1.27,,4.95,10
KS.YTG.沽酒,上路,20,1.84,60.20%,1.85,,2.9,7
VG.月色,中路,20,5.21,73.33%,2.1,,6.6,14
武汉eStarPro.纵情,打野,18,4.52,61.03%,3.33,,4.56,4
成都AG超玩会.6.6,对抗路,18,5.59,66.51%,1.56,,7.44,1
成都AG超玩会.爱思,辅助,18,6.86,80.26%,0.89,,9.67,1
武汉eStarPro.花海,打野,18,6.58,76.58%,4.28,,5.78,4
KS.YTG.青浪,中路,18,4.37,68.88%,1.83,,3.94,7
武汉eStarPro.梓墨,对抗路,18,4.5,64.42%,2.83,,5.61,4
武汉eStarPro.无铭,辅助,18,4.79,68.54%,0.83,,8.06,4
上海EDGM.辰安,中路,18,5.87,73.05%,2,,5.22,3
武汉eStarPro.无心,中路,18,5.07,65.27%,1.72,,6.67,4
KS.YTG.晨晨,打野,17,1.58,63.39%,1.71,,2.29,7
VG.萌神,辅助,17,5.46,72.68%,0.71,,8.18,14
佛山GK.伊恩,辅助,16,3.41,62.26%,0.25,,6.31,5
RW侠.Chengkun,辅助,16,2.44,60.91%,0.69,,4.81,11
佛山GK.阿改,下路,15,4.21,63.17%,0.8,,6.13,5
上海EDGM.旧梦,中路,15,4.23,62.02%,1.67,,4.73,3
RNGM.Xduxiu,对抗路,15,3.41,64.79%,1,,4.87,10
VG.TiGer,辅助,14,6.06,77.72%,0.71,,9.43,14
KS.YTG.小智,辅助,14,3.04,59.90%,1,,4.86,7
上海EDGM.yuan,打野,12,3.67,46.98%,2.08,,2.58,3
成都AG超玩会.汤汤,打野,12,7.19,66.30%,5.42,,4.83,1
